name,link,class
PBA Boxscores (October 1986),http://pbarecordsoddities.blogspot.com/2016/07/pba-boxscores-october-1986_10.html,boxscore
PBA Boxscores (September 1986),http://pbarecordsoddities.blogspot.com/2016/06/pba-boxscores-september-23-28-1986.html,boxscore
PBA Boxscores (May-June 1986),http://pbarecordsoddities.blogspot.com/2016/06/pba-boxscores-may-june-1986.html,boxscore
PBA Boxscores (November 1985),http://pbarecordsoddities.blogspot.com/2016/05/pba-boxscores-november-1985.html,boxscore
PBA Boxscores (October 1985),http://pbarecordsoddities.blogspot.com/2016/05/pba-boxscores-october-1985.html,boxscore
PBA Boxscores (September 1985),http://pbarecordsoddities.blogspot.com/2016/05/pba-boxscores-september-1985.html,boxscore
PBA Boxscores (August 1985),http://pbarecordsoddities.blogspot.com/2016/04/pba-boxscores-august-1985.html,boxscore
PBA Boxscores (July 1985),http://pbarecordsoddities.blogspot.com/2016/04/pba-boxscores-july-1985.html,boxscore
PBA Boxscores (April-May 1985),http://pbarecordsoddities.blogspot.com/2016/04/pba-boxscores-may-1985.html,boxscore
PBA Boxscores (1984 Second All-Filipino),http://pbarecordsoddities.blogspot.com/2016/04/pba-boxscores-1984-second-all-filipino.html,boxscore
PBA Boxscores (May-June 1984),http://pbarecordsoddities.blogspot.com/2016/04/pba-boxscores-may-june-1984.html,boxscore
PBA Boxscores (April 1984),http://pbarecordsoddities.blogspot.com/2016/03/pba-boxscores-1984-season.html,boxscore
PBA Boxscores (October-November 1983),http://pbarecordsoddities.blogspot.com/2016/03/pba-boxscores-october-november-1983.html,boxscore
PBA Boxscores (June-July 1983),http://pbarecordsoddities.blogspot.com/2016/03/pba-boxscores-june-july-1983.html,boxscore
PBA Boxscores (June 1983),http://pbarecordsoddities.blogspot.com/2016/03/pba-boxscores-june-1983.html,boxscore
PBA Boxscores (May 1983),http://pbarecordsoddities.blogspot.com/2016/02/pba-boxscores-may-1983.html,boxscore
"PBA Boxscores: May 20-25, 1982",http://pbarecordsoddities.blogspot.com/2016/01/1992-pba-player-stats-alaska-swift.html,boxscore
"PBA Boxscores: April 13-22, 1982",http://pbarecordsoddities.blogspot.com/2016/01/pba-boxscores-april-13-22-1982.html,boxscore
1989 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2013/10/1989-pba-reinforced-conference.html,boxscore
1989 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/10/1989-pba-all-filipino-conference.html,boxscore
1989 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/10/1989-pba-open-conference.html,boxscore
1988 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/09/1988-pba-season-records.html,boxscore
1988 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2013/09/1988-pba-reinforced-conference.html,boxscore
1988 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/09/1988-pba-all-filipino-conference.html,boxscore
1988 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/09/1988-pba-open-conference.html,boxscore
1987 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/08/1987-pba-season-records.html,boxscore
1987 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2013/08/1987-pba-reinforced-conference.html,boxscore
1987 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/08/1987-pba-all-filipino-conference.html,boxscore
1987 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/08/1987-pba-open-conference.html,boxscore
1986 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/07/1986-pba-season-records.html,boxscore
1986 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/07/1986-pba-open-conference.html,boxscore
1986 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/07/1986-pba-all-filipino-conference.html,boxscore
1986 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2013/07/1986-pba-reinforced-conference.html,boxscore
1985 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/06/1985-pba-season-records.html,boxscore
1985 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2013/06/1985-pba-reinforced-conference.html,boxscore
1985 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/06/1985-pba-all-filipino-conference.html,boxscore
1985 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/06/1985-pba-open-conference.html,boxscore
1984 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/05/1984-pba-season-records.html,boxscore
1984 PBA Invitational Conference,http://pbarecordsoddities.blogspot.com/2013/05/1984-pba-invitational-conference.html,boxscore
1984 PBA 2nd All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/05/1984-pba-second-all-filipino-conference.html,boxscore
1984 PBA 1st All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/05/1984-pba-first-all-filipino-conference.html,boxscore
1983 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/04/1983-pba-season-records.html,boxscore
1983 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/04/1983-pba-open-conference.html,boxscore
1983 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2013/04/1983-pba-reinforced-conference.html,boxscore
1983 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/04/1983-pba-all-filipino-conference.html,boxscore
1982 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/03/1982-pba-season-records.html,boxscore
1982 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/03/1982-pba-open-conference.html,boxscore
1982 PBA Invitational Conference,http://pbarecordsoddities.blogspot.com/2013/03/1982-pba-invitational-conference.html,boxscore
1982 PBA Reinforced Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/03/1982-pba-reinforced-filipino-conference.html,boxscore
1981 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/02/local-players-single-game-highest-total.html,boxscore
1981 PBA Reinforced Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/02/1981-pba-reinforced-filipino-conference.html,boxscore
1981 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/02/1981-pba-open-conference.html,boxscore
1980 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/01/1980-pba-season-records.html,boxscore
1980 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/01/1980-pba-all-filipino-conference.html,boxscore
1980 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/01/1980-pba-open-conference.html,boxscore
